Sample	posterior	likelihood	prior	Tree.t:Ala.CFheight	Tree.t:Ala.CFlength	Tree.t:Ala.nConv	Tree.t:Ala.nUselessConvs	Tree.t:Ala.meanEdgeLength	Tree.t:Ala.meanDepartureHeight	Tree.t:Ala.locus.Ala.meanTractLength	Tree.t:Ala.locus.Ala.meanRegionLength	Tree.t:Ala.locus.Ala.meanStartSite	Tree.t:Ala.locus.Ala.meanEndSite	Tree.t:Ala.locus.Ala.randomStartSite	Tree.t:Ala.locus.Ala.randomEndSite	rho.t:Ala	delta.t:Ala	popSize.t:Ala	gammaShape.s:Ala	mutationRate.s:Ala
32000	-5420.393083681633	-5262.244837132278	-158.14824654935433	1.6121834494352993	17.34843119912816	4	0	0.1528637895963618	0.14632949476479906	77.75	34.666666666666664	2.75	79.5	0.0	9.0	2.925378726993839E-4	819.9885323484668	5.12238982080967	0.6609431207084878	1.0
33000	-5416.303427356018	-5261.4516136727925	-154.8518136832254	1.1526945350998892	15.824490370894983	4	0	0.15516099456350346	0.13545257166115504	77.75	34.666666666666664	2.75	79.5	0.0	103.0	2.812160206263614E-4	607.1562500344805	4.945044140568379	0.6609431207084878	1.0
34000	-5402.198015869471	-5252.78041421658	-149.41760165289162	1.1351795022095659	14.332119799881768	4	0	0.1350770717796737	0.11735300387768693	77.75	34.666666666666664	2.75	79.5	11.0	103.0	5.877873675782762E-4	426.8905299152129	4.238074629140781	0.6609431207084878	1.0
35000	-5420.2300501335485	-5249.69426247826	-170.53578765528917	1.1171204668277863	15.327520420408131	5	0	0.14453428338463142	0.13668428236709929	61.8	20.8	6.2	67.0	20.0	103.0	3.6688191887793424E-4	211.75240105412644	6.222736271127001	0.6609431207084878	1.0
36000	-5419.064194434993	-5254.059970314616	-165.00422412037665	1.3283469462461357	16.343747051576802	5	0	0.09510007241960625	0.24648592757101154	94.8	26.0	9.2	103.0	0.0	103.0	2.9760936306414055E-4	366.24169093945585	4.797744813589171	0.6609431207084878	1.0
37000	-5427.806114970495	-5257.455724059168	-170.35039091132742	1.3818939232466239	16.577025938888944	6	0	0.16063785577541503	0.2273273414563708	83.16666666666667	26.0	4.333333333333333	86.5	0.0	103.0	4.999456284193912E-4	345.3128986476037	5.246025400682433	0.6786644610216072	1.0
38000	-5477.0208250223095	-5253.961916263727	-223.05890875858216	9.180369837026515	30.85648303592756	14	7	1.2983579401393806	2.650011130586638	77.42857142857143	26.0	10.285714285714286	86.71428571428571	0.0	103.0	8.566255959207407E-4	421.0505073791464	4.226322336007812	0.6786644610216072	1.0
39000	-5429.779745783384	-5261.141156594003	-168.63858918938024	1.179551333267438	14.717477177064522	7	0	0.16436464290988587	0.27670352703112566	91.0	26.0	13.0	103.0	0.0	103.0	0.0011252789231845492	348.65559858673555	4.918191998881658	0.6786644610216072	1.0
40000	-5437.920696220689	-5258.246597197535	-179.67409902315362	1.3124469096405917	15.534363604557775	9	2	0.1484704072187805	0.19265714296342062	93.66666666666667	34.666666666666664	0.3333333333333333	93.0	0.0	103.0	7.340261466435935E-4	311.21011579109194	4.333385270440748	0.6786644610216072	1.0
41000	-5437.102139709384	-5257.892231891305	-179.20990781807944	1.192519005073577	15.353167167068767	9	1	0.5365077358062027	0.24312946316458225	87.11111111111111	26.0	7.111111111111111	93.22222222222223	0.0	103.0	8.737951191760491E-4	550.6991596175358	4.309088340308247	0.6786644610216072	1.0
42000	-5452.103608800487	-5264.443390045226	-187.6602187552607	4.961982579472238	23.80972285329633	8	3	0.30940525087520027	1.1120986310139338	66.375	34.666666666666664	1.875	67.25	0.0	4.0	0.001174313444515072	394.40994213638146	4.148042392043047	0.6786644610216072	1.0
43000	-5425.535491529468	-5264.099634085892	-161.43585744357685	1.3290362174230352	15.310923181556449	6	0	0.19423116131514043	0.18298802963398722	86.83333333333333	34.666666666666664	2.5	88.33333333333333	0.0	103.0	0.001227316916918061	302.4889095965669	4.461952843837911	0.6786644610216072	1.0
44000	-5541.111254640456	-5266.855133727252	-274.2561209132036	11.252073715177591	36.15079003521375	27	18	2.5281473577260662	4.00869238703397	98.29629629629629	34.666666666666664	2.3333333333333335	99.62962962962963	0.0	100.0	0.0012636695658212055	523.8267331373382	5.252695542141929	0.6786644610216072	1.0
45000	-5450.088601428936	-5268.18071878949	-181.907882639446	2.6194184497781086	18.70215216092911	9	3	0.5723824848368624	0.8823049517273334	74.55555555555556	34.666666666666664	10.555555555555555	84.11111111111111	0.0	103.0	0.0012241209718682757	478.19859489358623	4.825828961922521	0.6786644610216072	1.0
46000	-5553.194092751957	-5269.520964261738	-283.67312849021886	17.367641591066356	47.80432587152389	20	14	1.7599480396254628	6.627135460816952	75.6	34.666666666666664	15.25	89.85	0.0	103.0	7.830288429570007E-4	285.0818607580592	5.292519708107899	0.6786644610216072	1.0
