#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII">
#                <taxonset id="TaxonSet.ClassII" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII" name="distribution" x="@birthRate2.t:ClassII">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII" name="distribution" x="@relativeDeathRate2.t:ClassII">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII" name="distribution">
#            <parameter id="ucldStdev.c:ClassII" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII" id="treeLikelihood.ClassII" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII">
#            <siteModel id="SiteModel.s:ClassII" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ClassII" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ClassII" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII">
#                <LogNormal S="@ucldStdev.c:ClassII" id="LogNormalDistributionModel.c:ClassII" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="1028" id="rateCategories.c:ClassII" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
220000	-83228.10267885053	-82714.88886120869	-513.2138176418306	-82714.88886120869	7.4390282510521475	-502.8253431953293	0.9370752587512402	0.039474036659299244	1.2922644507223526	0.5855107169603461	1.9108437846262287	1.593150721635949
230000	-82763.65183938768	-82256.3255768064	-507.3262625812723	-82256.3255768064	6.628838289569111	-496.8921331298768	0.9750270684995811	0.015089845226575412	1.307622751793098	0.5954976358396608	1.9451161895422957	1.6242742151888097
240000	-82221.95474829884	-81729.38838005524	-492.5663682435963	-81729.38838005524	7.237995032505771	-482.1725321771448	1.0269906202051595	0.03749795279267819	1.2940669715312338	0.6056834184937928	1.8974748038464893	1.582325354437533
250000	-81610.48981477026	-81148.48103654024	-462.00877823002213	-81148.48103654024	5.543388712390307	-451.7232853417706	0.9886053501902506	0.08186024400961037	1.2577023734701207	0.6175917155258625	1.7619210413092479	1.5316493084296852
260000	-80972.7115538655	-80524.74993310048	-447.9616207650214	-80524.74993310048	5.2708091924792955	-437.7471670212332	1.1471953129449686	0.02306266107302421	1.2339279966374892	0.6244228310986859	1.613684001975144	1.4394124788195959
270000	-80357.61120987048	-79928.74921825295	-428.86199161752677	-79928.74921825295	6.945069478961965	-418.71911854461905	1.2316349638602984	0.03932683387577742	1.2100300493223224	0.6317672623888775	1.4187360441448613	1.3723975761460507
280000	-79572.73388075635	-79158.62436079528	-414.109519961071	-79158.62436079528	4.844180643269926	-403.96107455123644	1.2560080477856754	0.005950094183451015	1.211888311935667	0.6422514952234463	1.3881641256558481	1.3455992395043066
290000	-79059.81502447918	-78642.42226119996	-417.3927632792115	-78642.42226119996	4.745580505730176	-407.20831454213766	1.2055481529355814	0.012538762280104976	1.2239033639810213	0.6502866270499534	1.345538907284141	1.3379229443109883
300000	-78498.55921137251	-78101.24120206333	-397.3180093091849	-78101.24120206333	4.53961817947203	-387.1869100743332	1.1779176881577045	0.07482821369766121	1.2061049020193304	0.6672868293316788	1.3144343455937058	1.321635751273507
310000	-77888.83339019904	-77541.25716277727	-347.5762274217637	-77541.25716277727	4.639852844846026	-337.7248389030851	1.3827406603835164	0.006469073327199462	1.113353015896701	0.7002449564913367	1.1168895738180036	1.198481875198185
320000	-76958.52080453842	-76613.70113462539	-344.8196699130349	-76613.70113462539	4.852333808879475	-334.8781405878442	1.3265681156952371	0.05098305497119131	1.1431360954432899	0.7007486875091432	1.1335875532436357	1.2287908152752818
330000	-76140.38500113152	-75809.2707943543	-331.11420677722026	-75809.2707943543	4.401681658814447	-321.2476684996271	1.362892988387132	0.08833893835631818	1.118351143775117	0.697610015363086	1.0813907857539822	1.2011412333245548
340000	-75433.99508998585	-75116.85396221653	-317.14112776932325	-75116.85396221653	3.117228451229891	-307.28936412746845	1.573704074584784	0.03000620572212437	1.1134767377030665	0.7003145218674399	1.0944816835258386	1.196391600411035
