#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeathSkyContemporary.t:ClassII" spec="beast.evolution.speciation.BirthDeathSkylineModel">
#            <parameter id="origin.t:ClassII" lower="0.0" name="origin" upper="Infinity">100.0</parameter>
#            <parameter id="rho.t:ClassII" lower="0.0" name="rho" upper="1.0">0.01</parameter>
#            <parameter dimension="10" id="reproductiveNumber.t:ClassII" lower="0.0" name="reproductiveNumber" upper="Infinity">2.0</parameter>
#            <parameter id="becomeUninfectiousRate.t:ClassII" lower="0.0" name="becomeUninfectiousRate" upper="Infinity">1.0</parameter>
#            <parameter id="samplingProportion.t:ClassII" name="samplingProportion">0.0</parameter>
#            <tree id="Tree.t:ClassII">
#                <taxonset id="TaxonSet.ClassII" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="becomeUninfectiousRatePriorContemp.t:ClassII" name="distribution" x="@becomeUninfectiousRate.t:ClassII">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="S">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="originPriorContemp.t:ClassII" name="distribution" x="@origin.t:ClassII">
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="reproductiveNumberPriorContemp.t:ClassII" name="distribution" x="@reproductiveNumber.t:ClassII">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.10" name="M">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.11" name="S">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="rhoPriorContemp.t:ClassII" name="distribution" x="@rho.t:ClassII">
#            <Beta id="Beta.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">1.0</parameter>
#            </Beta>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII" name="distribution">
#            <parameter id="ucldStdev.c:ClassII" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII" id="treeLikelihood.ClassII" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII">
#            <siteModel id="SiteModel.s:ClassII" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ClassII" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ClassII" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII">
#                <LogNormal S="@ucldStdev.c:ClassII" id="LogNormalDistributionModel.c:ClassII" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="1028" id="rateCategories.c:ClassII" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeathSkyContemporary	origin	rho	becomeUninfectiousRate	reproductiveNumber.1	reproductiveNumber.2	reproductiveNumber.3	reproductiveNumber.4	reproductiveNumber.5	reproductiveNumber.6	reproductiveNumber.7	reproductiveNumber.8	reproductiveNumber.9	reproductiveNumber.10	birth._0	birth._1	birth._2	birth._3	birth._4	birth._5	birth._6	birth._7	birth._8	birth._9	death	sampling
100000	-94291.36664236708	-93833.36936485393	-457.99727751314896	-93833.36936485393	3.8556513929041527	1.0827678942785257	0.7486055905039805	2.2935202631045533	1.5105533248694958	-443.51464228136604	43.05967277821224	0.1547705534469305	2.0458417757468	0.08588853989210736	0.9829557319893197	1.2598785290428196	0.7705577426179328	0.6797348528072696	1.145991307246038	0.17035681215714407	0.5832376274138641	0.8590882627052914	1.941234434421649	0.17571436296916879	2.0109719002135256	2.5775121270822283	1.5764392204729172	1.390629958304214	2.3445168910066307	0.34852308309413566	1.1932119033507302	1.7575586568962267	3.971458502458021	2.0458417757468	0.0
110000	-92611.81008257232	-92167.41694822577	-444.3931343465468	-92167.41694822577	3.544261008994288	1.1036349560961443	0.7379467242972217	2.2537195112695287	1.5310409268003293	-430.11439946859247	45.94039726170954	0.20010539959385143	1.5705306968475086	0.2527647232749707	0.671719130076526	1.5160654593045892	1.5741465004689368	0.5027953970223268	0.25933814626978097	0.7923866386193484	1.6337346883493788	0.152206705542361	2.063628199236232	0.39697475698350737	1.0549555134448885	2.3810273422680748	2.472245400321546	0.7896556052571946	0.40729851958022023	1.2444675397235003	2.5658304785572974	0.23904530332030774	3.2409914337806485	1.5705306968475086	0.0
120000	-90428.49444430352	-89985.5665134536	-442.9279308499206	-89985.5665134536	3.403506061709415	1.1451618758098705	0.7302377575696524	2.5569022083181303	1.6134759333801199	-428.8476627599049	38.10746028198308	0.1569827696777814	2.3857305932683404	0.252215547043414	1.0033563685294162	0.25476981610147026	1.3181849697124841	0.5370123905438312	0.9400537321882315	0.1132896981438621	1.220584850126024	0.5726260161681607	1.7382131836961543	0.6017183466793831	2.393737984351252	0.6078121445146266	3.144834209829574	1.2811668890845842	2.242714948197547	0.27027869876394733	2.9119866186255075	1.3661314052737523	4.146908369966277	2.3857305932683404	0.0
130000	-88588.55852717474	-88133.37695007455	-455.181577100191	-88133.37695007455	4.776105157810734	1.207655512530255	0.7091854629416788	3.094306441299957	1.7874005225940994	-439.3767670458042	52.81071051086325	0.15213672806034786	3.2254683632283676	2.1397300119879596	0.8808927554102295	0.8177745677807878	0.5857612647102709	1.7534135406525027	0.6948928958054952	1.2686414223642952	0.5026171533622407	0.2764590632208903	1.4875406473842026	6.90163145951742	2.8412917139727596	2.6377059966296836	1.889354427727616	5.655579903030884	2.2413550512527713	4.091962772117071	1.6211757269858078	0.8917099621467329	4.79801529715399	3.2254683632283676	0.0
140000	-86537.93663224026	-86095.33419901124	-442.60243322901937	-86095.33419901124	5.456208159645147	1.2289191410062064	0.7083176646229549	3.0893263900473458	1.8155656051806153	-426.1835102826628	38.34910646512041	0.16795686674417062	2.301551536355282	0.058648734162301576	2.803967452029079	0.31422507867265587	1.125254156571218	1.0942595696774235	1.0162888482925212	0.36599403655961005	0.3602302441846475	0.5087148493364	1.8323115560590093	0.1349830842165377	6.453475597107732	0.7232052125804104	2.5898304328466537	2.5184947937625437	2.3390411601683923	0.8423541371406417	0.8290884719448138	1.1708334430569372	4.21715947692915	2.301551536355282	0.0
150000	-85086.89525190917	-84678.23343823862	-408.66181367055367	-84678.23343823862	4.391403834182452	1.1853025274573616	0.712814481717553	2.573510248765482	1.6871172601279916	-392.8979114221142	45.772024123617406	0.2759911903037795	0.88648466372075	1.7632605355675823	1.5998154251674266	0.47440227740235424	1.3736085941242135	0.8782182811851104	0.2953489723838555	1.706957570790327	0.28450403109056754	0.9959758794313575	3.127268233067145	1.5631034229246976	1.4182118391948149	0.42055034335138397	1.2176829526461355	0.7785270376697976	0.2618223344639712	1.5131917081276514	0.25220846032851957	0.8829173425516851	2.772275327955112	0.88648466372075	0.0
160000	-83970.18592521096	-83589.18362546393	-381.0022997470212	-83589.18362546393	4.06403594178594	1.1694387703390459	0.7295775739487856	2.4631709879363837	1.649917764146191	-368.4749293173427	43.33385579546291	0.2654038490794573	1.435267776095034	0.5192141633577984	0.566624178648872	0.20195483970666447	0.9563000555128506	0.8236280951857133	0.27017729132687157	0.7670139318600376	1.2168345384710764	0.43317487852378345	2.3498145604938023	0.745211357559591	0.8132574247710419	0.28985927365741343	1.3725466539554867	1.1821268645065879	0.3877767600740991	1.1008703802146642	1.746483401907009	0.6217219445590673	3.3726131184756696	1.435267776095034	0.0
170000	-82772.29082058757	-82426.07337038608	-346.21745020150223	-82426.07337038608	3.437833493205167	1.12667244515247	0.7841125326835311	2.126425069765322	1.5321823895093702	-331.61080477382035	39.71360782988177	0.31600887705528774	0.6140512294059485	0.3482448886909427	1.1852105249256921	0.7521467315658816	0.6821206196788129	0.3477483644883435	1.1734413019285002	1.373271797716609	1.437534296591554	0.599439322066211	4.546652562270294	0.21384020203501106	0.7277799799354908	0.4618566252116955	0.4188570051169225	0.21353531073797521	0.7205530740849123	0.8432592356964007	0.8827197021352592	0.3680864526690251	2.79187759554378	0.6140512294059485	0.0
180000	-81878.92754205155	-81546.09364400414	-332.8338980474035	-81546.09364400414	3.694889984998321	1.1387245451855912	0.7906485706882614	2.133975699817248	1.5468547575042164	-315.2718115141272	41.73631947381254	0.3223010747930744	0.5996649308024612	3.9583005543680496	0.35640811929617405	1.6864321451701476	1.684639479248477	0.4843458774296599	0.7869576423944241	0.45639462507208683	1.4934847586592441	0.5857209108890443	4.680700639063024	2.3736540280304603	0.21372545019517555	1.0112942156365028	1.010219216750632	0.2904452370733144	0.47191090017092036	0.2736838512624682	0.8955904344559261	0.3512362894978333	2.806852024830764	0.5996649308024612	0.0
190000	-81235.04432654209	-80897.46960246756	-337.574724074529	-80897.46960246756	4.0436661038814465	1.1405721666854736	0.7658846364117957	1.902412378524145	1.4774500639605568	-322.8042307195271	41.88429656390239	0.27190078040484866	0.8795158880355418	2.4378364843971565	1.0683956249211075	0.4545967331306388	0.7368563120580294	0.43420719872314906	0.9485549695160028	1.0781212335794492	0.7194932601610428	0.17752401601367498	3.6062939328676364	2.1441159204600084	0.9396709268257756	0.39982504943745	0.648076833654312	0.3818921299764154	0.8342691663643935	0.9482247541616031	0.6328057536461267	0.1561351925919031	3.171792810883266	0.8795158880355418	0.0
