#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:Euk_READY" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:Euk_READY" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:Euk_READY" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:Euk_READY">
#                <taxonset id="TaxonSet.Euk_READY" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:Euk_READY" name="distribution" x="@birthRate2.t:Euk_READY">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:Euk_READY" name="distribution" x="@relativeDeathRate2.t:Euk_READY">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:Euk_READY" name="distribution">
#            <parameter id="ucldStdev.c:Euk_READY" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Euk_READY" id="treeLikelihood.Euk_READY" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Euk_READY">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Euk_READY" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Euk_READY" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Euk_READY" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Euk_READY" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Euk_READY" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Euk_READY" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Euk_READY">
#                <LogNormal S="@ucldStdev.c:Euk_READY" id="LogNormalDistributionModel.c:Euk_READY" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="640" id="rateCategories.c:Euk_READY" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Euk_READY" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
140000	-57002.18331899974	-56377.223353946065	-624.9599650536752	-56377.223353946065	18.114987283681458	1.7124738761149771	0.7316162262259982	9.958126103589574	3.238925309518528	-613.3415555106609	0.39067070481355076	0.05280347669985145
150000	-56756.799081144614	-56151.663787677215	-605.135293467401	-56151.663787677215	14.137270581995958	1.6571372846796049	0.7026836825756031	8.483017695156674	3.0302161401654057	-593.6769050087488	0.3636365102166946	0.23734841996016323
160000	-56287.92677168726	-55692.10269853458	-595.8240731526785	-55692.10269853458	13.538561265656234	1.6369828496472643	0.6656491429332426	8.704944559827911	2.8822268967751623	-584.4240926168492	0.353409000038897	0.22143829426476036
170000	-55991.48398702222	-55385.060171546924	-606.4238154752932	-55385.060171546924	14.98905949733181	1.6609508847628898	0.8960762793143655	9.034964634537616	3.0439326743280812	-594.9543828466683	0.40655268145167506	0.018094931525500704
180000	-55308.356390609726	-54709.16512773836	-599.1912628713706	-54709.16512773836	15.776598659279683	1.6693620065183161	0.8521363705328966	9.310881747900277	3.123139210940299	-587.6974802333383	0.3703949834149299	0.26700756957710076
190000	-55165.591146276296	-54579.063626916184	-586.5275193601128	-54579.063626916184	13.599370145638233	1.6208232834757355	0.6395325232213673	8.433598983284725	2.9694019802346197	-575.1744198754602	0.47596258537279895	0.1291696350195959
200000	-54765.05170443289	-54218.331120067254	-546.7205843656351	-54218.331120067254	12.36632497603091	1.580874548730254	0.756968143709312	8.59636656702298	2.9291120596798725	-535.4835798530739	0.5020855077886252	0.09703978486390466
210000	-54381.75569236692	-53852.38451018087	-529.3711821860503	-53852.38451018087	11.62029987029576	1.5408146645699368	0.7675707556724096	7.679061328206	2.75701637397607	-518.250890992789	0.4845614402610262	0.03689225473577142
220000	-53886.87472501527	-53367.76627945226	-519.1084455630069	-53367.76627945226	12.467783448446045	1.5157226610173835	0.6594550253473519	6.957975785427082	2.6315502438368057	-508.061416727403	0.5239543393662052	0.0983967158067755
230000	-53358.68716786546	-52850.30266608374	-508.3845017817181	-52850.30266608374	12.343149391219619	1.5134769188677202	0.6442156226867806	6.838990944817131	2.6460797612200238	-497.34403604054535	0.5830437401556537	0.0046949792396226535
240000	-52858.74887536296	-52372.86573908857	-485.8831362743911	-52372.86573908857	12.71531685467632	1.492619648030449	0.6668813378125875	5.218861554325663	2.3851240748091405	-474.9036739265604	0.6187404550684579	0.029399470041608172
250000	-52009.994724237986	-51562.832787274056	-447.16193696393344	-51562.832787274056	10.328924310834386	1.4004728627766034	0.6872503970386431	4.087045082244994	2.2109746505123065	-436.4530977034345	0.7324540447220558	0.005503695127823447
260000	-51121.37808711412	-50691.83790256334	-429.5401845507836	-50691.83790256334	10.42971101545476	1.4037118081816267	0.6476968126561496	4.208456725778084	2.21254184418581	-418.8218005941332	0.6452516055294075	0.2321104923564723
270000	-50613.0990007377	-50221.78078289013	-391.3182178475719	-50221.78078289013	9.047931838416252	1.3398751450598025	0.6640672343576037	3.8205085526154083	2.1000167498670086	-380.78841799917956	0.8594476460391608	0.00810748195803359
